state,morning_humidity,afternoon_humidity
Alabama,84,52
Alaska,77,64
Arizona,53,25
Arkansas,85,49
California,76,62
Colorado,60,35
Connecti­cut,79,52
Delaware,79,54
Florida,87,57
Georgia,86,50
Hawaii,71,56
Idaho,68,41
Illinois,83,58
Indiana,83,58
Iowa,78,56
Kansas,80,50
Kentucky,79,55
Louisiana,87,61
Maine,82,61
Maryland,77,52
Massachu­setts,75,59
Michigan,84,61
Minnesota,78,55
Mississippi,91,54
Missouri,82,53
Montana,71,45
Nebraska,82,53
Nevada,71,32
New Hampshire,84,53
New Jersey,83,59
New Mexico,60,29
New York,82,61
North Carolina,83,52
North Dakota,80,51
Ohio,80,57
Oklahoma,79,48
Oregon,85,59
Pennsylvania,77,54
Rhode Island,78,57
South Carolina,86,49
South Dakota,83,53
Tennessee,84,53
Texas,82,49
Utah,67,43
Vermont,77,58
Virginia,84,52
Washington,83,62
West Virginia,83,59
Wisconsin,84,58
Wyoming,63,43
