state,annual_inches,rain_rank
Alabama,58.3,4
Alaska,22.5,39
Arizona,13.6,47
Arkansas,50.6,8
California,22.2,40
Colorado,15.9,44
Connecticut,50.3,9
Delaware,45.7,16
Florida,54.5,5
Georgia,50.7,7
Hawaii,63.7,1
Idaho,18.9,42
Illinois,39.2,27
Indiana,41.7,26
Iowa,34.0,31
Kansas,28.9,35
Kentucky,48.9,12
Louisiana,60.1,2
Maine,42.2,23
Maryland,44.5,18
Massachusetts,47.7,14
Michigan,32.8,32
Minnesota,27.3,37
Mississippi,59.0,3
Missouri,42.2,24
Montana,15.3,45
Nebraska,23.6,38
Nevada,9.5,50
New Hampshire,43.4,20
New Jersey,47.1,15
New Mexico,14.6,46
New York,41.8,25
North Carolina,50.3,9
North Dakota,17.8,43
Ohio,39.1,28
Oklahoma,36.5,30
Oregon,27.4,36
Pennsylvania,42.9,21
Rhode Island,47.9,13
South Carolina,49.8,11
South Dakota,20.1,41
Tennessee,54.2,6
Texas,28.9,34
Utah,12.2,49
Vermont,42.7,22
Virginia,44.3,19
Washington,38.4,29
West Virginia,45.2,17
Wisconsin,32.6,33
Wyoming,12.9,48
